complaint_text,category,priority,location,date
No water supply since yesterday.,Supply,High,Yelahanka,2026-01-01
sewage mix agide neeru jote.,Contamination,Medium,Whitefield,2026-02-10
ಪೈಪ್ ಒಡೆದು ನೀರು ರಸ್ತೆಯಲ್ಲಿ ಹರಿಯುತ್ತಿದೆ Marathahalli.,Leakage,Medium,Marathahalli,2025-12-15
No water supply since 3 days.,Supply,High,Rajajinagar,2025-12-27
ರಸ್ತೆಗೆ ಕೊಳಚೆ ನೀರು ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Yelahanka,2025-12-05
Water is muddy and unhygienic.,Contamination,Medium,Whitefield,2026-01-09
Water is leaking from the main pipe near Marathahalli.,Leakage,Medium,Marathahalli,2026-01-24
HSR Layout ನಲ್ಲಿ ನೀರಿನ ಸರಬರಾಜು ಇಲ್ಲ.,Supply,Medium,HSR Layout,2026-02-07
Rajajinagar ನಲ್ಲಿ ನಿರಂತರ ನೀರು ಸೋರಿಕೆ.,Leakage,Medium,Rajajinagar,2026-01-16
sewage neeru rastege bartide.,Drainage,High,Electronic City,2025-12-21
"ನಮ್ಮ ಮನೆಗೆ ನೀರು ಬರುತ್ತಿಲ್ಲ, ದಯವಿಟ್ಟು ಗಮನಿಸಿ.",Supply,Medium,Whitefield,2025-12-07
Electronic City ನಲ್ಲಿ ಒಳಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡಿದೆ ಮತ್ತು ಉಕ್ಕಿ ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Electronic City,2026-01-27
Manhole is open and overflowing.,Drainage,High,Electronic City,2025-12-10
"Drainage block agide, vasane barthide Hebbal.",Drainage,Low,Hebbal,2026-02-15
The public drain is choked and overflowing heavily.,Drainage,High,KR Puram,2026-01-02
sewage neeru rastege bartide.,Drainage,Medium,Yelahanka,2026-01-21
Foul odor coming from the supplied water.,Contamination,Medium,Jayanagar,2026-01-03
No supply at all in Electronic City.,Supply,Medium,Electronic City,2026-02-19
getting dirty water for drinking.,Contamination,Medium,Rajajinagar,2026-01-17
Please clear the blocked drainage near KR Puram.,Drainage,Medium,KR Puram,2025-12-12
When will water come today? No supply.,Supply,Medium,Hebbal,2026-02-12
We are not getting water in Rajajinagar.,Supply,Medium,Rajajinagar,2025-12-07
We are not getting water in KR Puram.,Supply,High,KR Puram,2025-12-25
Manhole is open and overflowing.,Drainage,High,Marathahalli,2026-01-04
"Minor leak, only drops coming out from the pipe at Marathahalli.",Leakage,Low,Marathahalli,2026-01-29
Sewage water entering the road.,Drainage,Medium,Marathahalli,2026-01-24
"Drainage block agide, vasane barthide Yelahanka.",Drainage,Low,Yelahanka,2026-02-26
3 days ಇಂದ ನೀರು ಬಂದಿಲ್ಲ.,Supply,High,Rajajinagar,2026-01-11
Sewage mixed with drinking water.,Contamination,High,Indiranagar,2025-12-13
"Drainage block agide, vasane barthide Yelahanka.",Drainage,Low,Yelahanka,2025-12-18
watr lekng frm pip Jayanagar.,Leakage,Medium,Jayanagar,2026-02-06
ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ.,Drainage,Low,Hebbal,2025-12-20
Low water pressure today.,Supply,Low,Jayanagar,2025-12-16
"ಕಸದಿಂದ ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡಿದೆ, ದಯವಿಟ್ಟು ಸ್ವಚ್ಛಗೊಳಿಸಿ.",Drainage,Medium,Electronic City,2026-01-19
Low water pressure today.,Supply,Low,Whitefield,2026-02-12
Sewage mixed with drinking water.,Contamination,High,HSR Layout,2026-01-12
Water is leaking from the main pipe near Whitefield.,Leakage,Medium,Whitefield,2026-01-05
Kaveri neeru bandilla.,Supply,High,Whitefield,2026-01-04
We are not getting water in KR Puram.,Supply,Medium,KR Puram,2025-12-11
"kudiyoke agalla, neeru halagide.",Contamination,High,Yelahanka,2026-01-10
ಇಂದು ನೀರಿನ ಒತ್ತಡ ತುಂಬಾ ಕಡಿಮೆಯಾಗಿದೆ.,Supply,Medium,Hebbal,2026-02-13
Not enough water pressure to reach the overhead tank.,Supply,High,HSR Layout,2026-01-13
ರಸ್ತೆಗೆ ಕೊಳಚೆ ನೀರು ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Whitefield,2026-02-10
The water is brown and has particles in it.,Contamination,Medium,Indiranagar,2026-01-06
Not enough water pressure to reach the overhead tank.,Supply,Low,Rajajinagar,2025-12-05
bad smll wter cming frm tap.,Contamination,Low,KR Puram,2026-01-02
"ಟ್ಯಾಪ್ ಸೋರುತ್ತಿದೆ, ದಯವಿಟ್ಟು ಸರಿಪಡಿಸಿ.",Leakage,Medium,Electronic City,2025-12-13
We are not getting water in Marathahalli.,Supply,Medium,Marathahalli,2025-12-17
sewage neeru rastege bartide.,Drainage,High,Electronic City,2025-12-13
ರಸ್ತೆಗೆ ಕೊಳಚೆ ನೀರು ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Jayanagar,2025-12-31
The public drain is choked and overflowing heavily.,Drainage,High,Indiranagar,2026-01-08
Mosquitoes increasing because of drainage leak.,Drainage,Medium,Marathahalli,2026-02-22
There is a severe water leak at the intersection in Marathahalli.,Leakage,Medium,Marathahalli,2025-12-09
"Water timing is not followed, please fix.",Supply,Low,Indiranagar,2026-02-26
"sೊಳ್ಳೆ ಕಾಟ ಹೆಚ್ಚಾಗಿದೆ, drainage clean madi.",Drainage,Medium,Hebbal,2026-01-27
full kachara tumbide drain nalli.,Drainage,Medium,Whitefield,2026-01-08
There is a severe water leak at the intersection in Yelahanka.,Leakage,Medium,Yelahanka,2025-12-09
Huge water leak at Yelahanka.,Leakage,Medium,Yelahanka,2026-01-02
"kudiyoke agalla, neeru halagide.",Contamination,High,Electronic City,2026-02-01
"Minor leak, only drops coming out from the pipe at Whitefield.",Leakage,Low,Whitefield,2026-02-08
neeru full black agide Whitefield nalli.,Contamination,High,Whitefield,2026-02-11
Water supply illa last night inda.,Supply,Medium,Yelahanka,2026-01-22
"ನಮ್ಮ ಮನೆಗೆ ನೀರು ಬರುತ್ತಿಲ್ಲ, ದಯವಿಟ್ಟು ಗಮನಿಸಿ.",Supply,Medium,Electronic City,2026-02-19
Continuous water leakage in our area Yelahanka.,Leakage,Medium,Yelahanka,2026-02-01
Huge water leak at Hebbal.,Leakage,Medium,Hebbal,2026-01-01
ಪೈಪ್ ಒಡೆದು ನೀರು ರಸ್ತೆಯಲ್ಲಿ ಹರಿಯುತ್ತಿದೆ Jayanagar.,Leakage,Medium,Jayanagar,2025-12-16
morning ಇಂದ ನೀರು ಬಂದಿಲ್ಲ.,Supply,High,Rajajinagar,2025-12-08
Not enough water pressure to reach the overhead tank.,Supply,Low,Hebbal,2026-03-05
bad smll wter cming frm tap.,Contamination,Low,Electronic City,2026-02-13
ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ.,Drainage,Low,Jayanagar,2025-12-12
"ನಮ್ಮ ಮನೆಗೆ ನೀರು ಬರುತ್ತಿಲ್ಲ, ದಯವಿಟ್ಟು ಗಮನಿಸಿ.",Supply,Medium,Indiranagar,2026-01-23
leakage problem since 2 days in Jayanagar.,Leakage,High,Jayanagar,2026-02-14
Please clear the blocked drainage near Yelahanka.,Drainage,Low,Yelahanka,2026-02-21
Huge water leak at Jayanagar.,Leakage,Medium,Jayanagar,2025-12-16
Sewage mixed with drinking water.,Contamination,High,Electronic City,2025-12-10
Rajajinagar ನಲ್ಲಿ ನಿರಂತರ ನೀರು ಸೋರಿಕೆ.,Leakage,Medium,Rajajinagar,2025-12-07
leakage problem since 2 days in HSR Layout.,Leakage,High,HSR Layout,2026-01-20
"ಟ್ಯಾಪ್ ಸೋರುತ್ತಿದೆ, ದಯವಿಟ್ಟು ಸರಿಪಡಿಸಿ.",Leakage,Medium,Yelahanka,2025-12-29
"Pipe burst in Whitefield, water is everywhere.",Leakage,High,Whitefield,2026-02-21
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium,HSR Layout,2026-02-16
Sewage water entering the road.,Drainage,Medium,Indiranagar,2026-02-22
"Gutter is blocked, very bad smell.",Drainage,Low,Jayanagar,2025-12-06
When will water come today? No supply.,Supply,Medium,KR Puram,2026-02-03
bad smll wter cming frm tap.,Contamination,Low,Hebbal,2026-01-17
ಕುಡಿಯಲು ನೀರು ಯೋಗ್ಯವಾಗಿಲ್ಲ.,Contamination,Medium,KR Puram,2026-02-04
ನೀರಿನ ಸಮಯ ಸರಿಯಾಗಿ ಪಾಲಿಸುತ್ತಿಲ್ಲ.,Supply,Medium,HSR Layout,2025-12-25
Taps are leaking continuously.,Leakage,Medium,Electronic City,2025-12-06
full kachara tumbide drain nalli.,Drainage,Medium,Electronic City,2026-02-08
bad smll wter cming frm tap.,Contamination,Low,KR Puram,2026-01-12
Kaveri neeru bandilla.,Supply,High,Marathahalli,2026-02-25
ನೀರು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ ಮತ್ತು ಹಳದಿಯಾಗಿದೆ.,Contamination,Low,Yelahanka,2026-02-22
bad smll wter cming frm tap.,Contamination,Low,Hebbal,2025-12-20
We have been waiting for water since morning.,Supply,Medium,Marathahalli,2026-01-30
neeru barthilla nam manege.,Supply,Low,Whitefield,2026-01-07
ಪೈಪ್ ಒಡೆದು ನೀರು ರಸ್ತೆಯಲ್ಲಿ ಹರಿಯುತ್ತಿದೆ Rajajinagar.,Leakage,Medium,Rajajinagar,2025-12-08
ಕೊಳಚೆ ನೀರು ಕುಡಿಯುವ ನೀರಿನೊಂದಿಗೆ ಬೆರೆತಿದೆ.,Contamination,High,HSR Layout,2026-01-05
Foul odor coming from the supplied water.,Contamination,Medium,Hebbal,2026-02-20
"ಕೇವಲ ಹನಿಗಳು ಮಾತ್ರ ಬರುತ್ತಿವೆ, ದೊಡ್ಡ ಸೋರಿಕೆ ಇಲ್ಲ KR Puram.",Leakage,Low,KR Puram,2026-03-03
"Water timing is not followed, please fix.",Supply,Low,Jayanagar,2026-01-19
water colour is black.,Contamination,High,HSR Layout,2025-12-15
Drinking water is contaminated in Rajajinagar.,Contamination,Medium,Rajajinagar,2026-01-04
Taps are leaking continuously.,Leakage,Medium,Rajajinagar,2026-01-31
Water is not safe for drinking today.,Contamination,Medium,Whitefield,2025-12-09
"Gutter is blocked, very bad smell.",Drainage,Low,Marathahalli,2026-01-19
"ಕೇವಲ ಹನಿಗಳು ಮಾತ್ರ ಬರುತ್ತಿವೆ, ದೊಡ್ಡ ಸೋರಿಕೆ ಇಲ್ಲ Rajajinagar.",Leakage,Low,Rajajinagar,2026-01-18
no suply of watr since last night.,Supply,Medium,HSR Layout,2026-02-28
leakage problem since 2 days in Indiranagar.,Leakage,High,Indiranagar,2025-12-17
ಇಂದು ನೀರಿನ ಒತ್ತಡ ತುಂಬಾ ಕಡಿಮೆಯಾಗಿದೆ.,Supply,Low,Electronic City,2026-01-01
Sewage mixed with drinking water.,Contamination,High,Electronic City,2026-01-28
KR Puram ಹತ್ತಿರ ಮುಖ್ಯ ಪೈಪ್‌ನಿಂದ ನೀರು ಸೋರುತ್ತಿದೆ.,Leakage,Medium,KR Puram,2026-02-02
The water is brown and has particles in it.,Contamination,Medium,Indiranagar,2026-02-04
sewage mix agide neeru jote.,Contamination,Medium,Hebbal,2025-12-25
Sewage water entering the road.,Drainage,Medium,Hebbal,2026-01-27
Kaveri neeru bandilla.,Supply,High,Indiranagar,2026-01-23
Drinking water is contaminated in Marathahalli.,Contamination,Medium,Marathahalli,2026-01-01
watr lekng frm pip Electronic City.,Leakage,Medium,Electronic City,2026-01-16
ಮ್ಯಾನ್‌ಹೋಲ್ ತೆರೆದಿದೆ ಮತ್ತು ಕೊಳಚೆ ನೀರು ಹೊರಬರುತ್ತಿದೆ.,Drainage,High,Yelahanka,2025-12-08
ಕೊಳಚೆ ನೀರು ಕುಡಿಯುವ ನೀರಿನೊಂದಿಗೆ ಬೆರೆತಿದೆ.,Contamination,High,Rajajinagar,2026-02-15
ಕುಡಿಯಲು ನೀರು ಯೋಗ್ಯವಾಗಿಲ್ಲ.,Contamination,Medium,Hebbal,2026-01-14
We are not getting water in KR Puram.,Supply,Medium,KR Puram,2026-02-16
Mosquitoes increasing because of drainage leak.,Drainage,Medium,Yelahanka,2026-01-18
bad smll wter cming frm tap.,Contamination,Low,Indiranagar,2026-02-14
"Drainage block agide, vasane barthide Hebbal.",Drainage,Low,Hebbal,2025-12-29
Drainage is blocked and overflowing in HSR Layout.,Drainage,High,HSR Layout,2026-01-27
"Water wastage due to a leak at HSR Layout, please fix immediately.",Leakage,High,HSR Layout,2025-12-12
Water supply is very erratic in our area.,Supply,Medium,Yelahanka,2026-02-23
ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ.,Drainage,Low,KR Puram,2026-01-20
ನೀರಿನ ಸಮಯ ಸರಿಯಾಗಿ ಪಾಲಿಸುತ್ತಿಲ್ಲ.,Supply,Low,Marathahalli,2026-01-21
The water is brown and has particles in it.,Contamination,Medium,HSR Layout,2026-01-05
ಪೈಪ್ ಒಡೆದು ನೀರು ರಸ್ತೆಯಲ್ಲಿ ಹರಿಯುತ್ತಿದೆ Indiranagar.,Leakage,Medium,Indiranagar,2026-01-15
Sewage mixed with drinking water.,Contamination,High,Marathahalli,2026-02-02
water pipe odedide Yelahanka nalli.,Leakage,High,Yelahanka,2025-12-09
Water is muddy and unhygienic.,Contamination,Medium,Yelahanka,2025-12-10
Sewage water entering the road.,Drainage,Medium,Whitefield,2025-12-30
neeru leak agthide Hebbal hatra.,Leakage,Medium,Hebbal,2025-12-29
Sewage water entering the road.,Drainage,Medium,Marathahalli,2025-12-31
The public drain is choked and overflowing heavily.,Drainage,High,KR Puram,2026-01-14
Water supply illa 1 week inda.,Supply,High,Marathahalli,2025-12-11
ಕುಡಿಯಲು ನೀರು ಯೋಗ್ಯವಾಗಿಲ್ಲ.,Contamination,Low,Marathahalli,2025-12-12
Water is not safe for drinking today.,Contamination,Medium,Indiranagar,2026-01-06
sewage mix agide neeru jote.,Contamination,Medium,Hebbal,2026-01-23
Low water pressure today.,Supply,Low,Whitefield,2026-02-28
"swalpa leak agtide, just drops Yelahanka hatra.",Leakage,Low,Yelahanka,2026-01-05
manhole open ide mattu overflow agthide.,Drainage,Medium,Hebbal,2026-01-25
water pipe odedide Electronic City nalli.,Leakage,High,Electronic City,2026-01-19
Pipe is cracked and leaking water at Indiranagar.,Leakage,Medium,Indiranagar,2026-02-17
Foul odor coming from the supplied water.,Contamination,Medium,Electronic City,2026-02-18
manhole open ide mattu overflow agthide.,Drainage,Medium,Electronic City,2025-12-21
We have been waiting for water since morning.,Supply,Medium,Jayanagar,2026-02-19
The public drain is choked and overflowing heavily.,Drainage,High,KR Puram,2026-02-19
1 week ಇಂದ ನೀರು ಬಂದಿಲ್ಲ.,Supply,High,Indiranagar,2026-01-08
Foul odor coming from the supplied water.,Contamination,Medium,Electronic City,2026-02-03
Water dripping from the street valve near Hebbal.,Leakage,Medium,Hebbal,2025-12-18
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium,Indiranagar,2026-02-24
ಮ್ಯಾನ್‌ಹೋಲ್ ತೆರೆದಿದೆ ಮತ್ತು ಕೊಳಚೆ ನೀರು ಹೊರಬರುತ್ತಿದೆ.,Drainage,High,Indiranagar,2026-03-04
Manhole is open and overflowing.,Drainage,High,Indiranagar,2026-01-09
ರಸ್ತೆಗೆ ಕೊಳಚೆ ನೀರು ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Marathahalli,2025-12-08
neeru leak agthide HSR Layout hatra.,Leakage,Medium,HSR Layout,2025-12-30
neeru sari yagi supply agthilla.,Supply,High,Yelahanka,2026-01-12
ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ.,Drainage,Low,Rajajinagar,2026-01-22
"Gutter is blocked, very bad smell.",Drainage,Low,KR Puram,2026-01-02
The public drain is choked and overflowing heavily.,Drainage,High,Rajajinagar,2026-01-24
neeru leak agthide HSR Layout hatra.,Leakage,Medium,HSR Layout,2025-12-18
ಕಾವೇರಿ ನೀರು ಬರುತ್ತಿಲ್ಲ.,Supply,Medium,KR Puram,2025-12-25
"kudiyoke agalla, neeru halagide.",Contamination,High,Rajajinagar,2025-12-05
3 days ಇಂದ ನೀರು ಬಂದಿಲ್ಲ.,Supply,High,Hebbal,2026-02-02
When will water come today? No supply.,Supply,Medium,Jayanagar,2026-02-27
ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ.,Drainage,Low,Marathahalli,2025-12-17
no suply of watr since 1 week.,Supply,High,Whitefield,2026-01-25
neeru sari yagi supply agthilla.,Supply,High,Indiranagar,2025-12-31
watr suply is vry bad in Electronic City.,Supply,Medium,Electronic City,2026-02-21
"Pipe burst in Whitefield, water is everywhere.",Leakage,High,Whitefield,2026-02-10
ಕುಡಿಯಲು ನೀರು ಯೋಗ್ಯವಾಗಿಲ್ಲ.,Contamination,Medium,Jayanagar,2025-12-19
Not enough water pressure to reach the overhead tank.,Supply,Low,Whitefield,2025-12-15
Water supply illa last night inda.,Supply,High,Rajajinagar,2026-01-06
getting dirty water for drinking.,Contamination,High,Electronic City,2025-12-06
drinage blok in frnt of house.,Drainage,Medium,Marathahalli,2026-01-07
"kudiyoke agalla, neeru halagide.",Contamination,High,Indiranagar,2026-01-07
Completely dry taps in Marathahalli since 3 days.,Supply,High,Marathahalli,2026-02-19
Broken pipe causing flooding near Yelahanka.,Leakage,Medium,Yelahanka,2026-01-17
"main pipe break agide, neeru raste mele bartide Hebbal.",Leakage,Medium,Hebbal,2026-01-04
HSR Layout ಹತ್ತಿರ ಮುಖ್ಯ ಪೈಪ್‌ನಿಂದ ನೀರು ಸೋರುತ್ತಿದೆ.,Leakage,Medium,HSR Layout,2026-01-10
"kudiyoke agalla, neeru halagide.",Contamination,High,Marathahalli,2026-01-07
"Water timing is not followed, please fix.",Supply,Low,Whitefield,2026-02-10
vasane bartide neerinda Indiranagar.,Contamination,Low,Indiranagar,2026-01-07
"Minor leak, only drops coming out from the pipe at Electronic City.",Leakage,Low,Electronic City,2026-01-23
Kaveri neeru bandilla.,Supply,High,Rajajinagar,2026-01-17
Foul odor coming from the supplied water.,Contamination,Medium,Jayanagar,2026-03-02
no suply of watr since 3 days.,Supply,High,Whitefield,2025-12-11
"Minor leak, only drops coming out from the pipe at Whitefield.",Leakage,Low,Whitefield,2026-02-12
Sewage water entering the road.,Drainage,High,Yelahanka,2025-12-05
bad smll wter cming frm tap.,Contamination,Low,Jayanagar,2025-12-22
"Drainage block agide, vasane barthide Electronic City.",Drainage,Low,Electronic City,2026-02-10
Mosquitoes increasing because of drainage leak.,Drainage,Medium,Indiranagar,2026-01-22
full kachara tumbide drain nalli.,Drainage,Medium,Indiranagar,2026-02-18
water stagnation due to blocked drainage.,Drainage,Medium,Rajajinagar,2025-12-16
Water is muddy and unhygienic.,Contamination,Medium,Jayanagar,2026-01-02
The public drain is choked and overflowing heavily.,Drainage,High,Whitefield,2025-12-20
no suply of watr since 2 days.,Supply,High,Jayanagar,2026-01-08
"Gutter is blocked, very bad smell.",Drainage,Low,Rajajinagar,2026-02-13
"kudiyoke agalla, neeru halagide.",Contamination,High,Indiranagar,2026-02-06
ನೀರಿನ ಸಮಯ ಸರಿಯಾಗಿ ಪಾಲಿಸುತ್ತಿಲ್ಲ.,Supply,Medium,Jayanagar,2026-01-06
Water is leaking from the main pipe near Jayanagar.,Leakage,Medium,Jayanagar,2025-12-31
"main pipe break agide, neeru raste mele bartide Jayanagar.",Leakage,Medium,Jayanagar,2026-02-26
Indiranagar ನಲ್ಲಿ ಕುಡಿಯುವ ನೀರು ಕಲುಷಿತಗೊಂಡಿದೆ.,Contamination,High,Indiranagar,2026-01-10
The public drain is choked and overflowing heavily.,Drainage,High,Indiranagar,2026-01-19
sewage neeru rastege bartide.,Drainage,High,Indiranagar,2025-12-07
drain is flul of grabage.,Drainage,Medium,Indiranagar,2025-12-28
sewage mix agide neeru jote.,Contamination,Medium,Whitefield,2025-12-29
water colour is black.,Contamination,High,Yelahanka,2025-12-15
neeralli kachara barthide.,Contamination,Medium,Yelahanka,2025-12-22
Please clear the blocked drainage near Jayanagar.,Drainage,Medium,Jayanagar,2026-02-22
Broken pipe causing flooding near Whitefield.,Leakage,Medium,Whitefield,2026-01-12
Kaveri neeru bandilla.,Supply,High,KR Puram,2026-01-25
Water is muddy and unhygienic.,Contamination,Medium,HSR Layout,2025-12-06
watr lekng frm pip Electronic City.,Leakage,Medium,Electronic City,2026-01-16
ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ.,Drainage,Low,Whitefield,2026-01-04
Pipe is cracked and leaking water at Rajajinagar.,Leakage,Medium,Rajajinagar,2026-01-29
water pipe odedide Marathahalli nalli.,Leakage,High,Marathahalli,2026-01-06
HSR Layout ನಲ್ಲಿ ನಿರಂತರ ನೀರು ಸೋರಿಕೆ.,Leakage,Medium,HSR Layout,2026-02-17
leakage problem since 2 days in Hebbal.,Leakage,High,Hebbal,2026-02-20
Kaveri neeru bandilla.,Supply,High,HSR Layout,2026-03-02
neeru full black agide Jayanagar nalli.,Contamination,High,Jayanagar,2026-03-04
Water is not safe for drinking today.,Contamination,Medium,Yelahanka,2025-12-14
"kudiyoke agalla, neeru halagide.",Contamination,High,Jayanagar,2026-02-25
pressure tumba low ide HSR Layout nalli.,Supply,Low,HSR Layout,2026-02-27
drinage blok in frnt of house.,Drainage,Medium,Indiranagar,2025-12-28
"Minor leak, only drops coming out from the pipe at Rajajinagar.",Leakage,Low,Rajajinagar,2026-01-18
"main pipe break agide, neeru raste mele bartide Hebbal.",Leakage,Medium,Hebbal,2026-01-04
Water smells bad and is yellowish.,Contamination,High,Jayanagar,2026-03-01
ಕುಡಿಯಲು ನೀರು ಯೋಗ್ಯವಾಗಿಲ್ಲ.,Contamination,Low,Electronic City,2026-02-12
Sewage mixed with drinking water.,Contamination,High,Electronic City,2025-12-09
"Neeru galiju agide, kadi neeru barthide.",Contamination,Medium,Electronic City,2026-01-29
Manhole is open and overflowing.,Drainage,High,Marathahalli,2026-02-05
The water is brown and has particles in it.,Contamination,Medium,Whitefield,2026-03-05
"swalpa leak agtide, just drops Indiranagar hatra.",Leakage,Low,Indiranagar,2026-01-20
KR Puram ನಲ್ಲಿ ಒಳಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡಿದೆ ಮತ್ತು ಉಕ್ಕಿ ಹರಿಯುತ್ತಿದೆ.,Drainage,High,KR Puram,2025-12-17
"kudiyoke agalla, neeru halagide.",Contamination,High,Jayanagar,2026-02-06
There is a severe water leak at the intersection in Indiranagar.,Leakage,Medium,Indiranagar,2026-01-14
Hebbal ನಲ್ಲಿ ನಿರಂತರ ನೀರು ಸೋರಿಕೆ.,Leakage,Medium,Hebbal,2026-01-04
Not enough water pressure to reach the overhead tank.,Supply,Low,KR Puram,2026-01-30
Whitefield ಹತ್ತಿರ ಮುಖ್ಯ ಪೈಪ್‌ನಿಂದ ನೀರು ಸೋರುತ್ತಿದೆ.,Leakage,Medium,Whitefield,2025-12-23
ಕೊಳಚೆ ನೀರು ಕುಡಿಯುವ ನೀರಿನೊಂದಿಗೆ ಬೆರೆತಿದೆ.,Contamination,High,Hebbal,2025-12-26
no suply of watr since today.,Supply,Low,KR Puram,2026-01-27
neeru sari yagi supply agthilla.,Supply,High,Electronic City,2026-02-03
Kaveri neeru bandilla.,Supply,High,Yelahanka,2025-12-30
"main pipe break agide, neeru raste mele bartide Electronic City.",Leakage,Medium,Electronic City,2025-12-31
watr lekng frm pip Hebbal.,Leakage,Medium,Hebbal,2025-12-21
Pipe is cracked and leaking water at Indiranagar.,Leakage,Medium,Indiranagar,2025-12-07
neeru sari yagi supply agthilla.,Supply,High,Hebbal,2026-03-01
Water supply is very erratic in our area.,Supply,Medium,Yelahanka,2026-02-07
ರಸ್ತೆಗೆ ಕೊಳಚೆ ನೀರು ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Marathahalli,2026-02-26
"ನಮ್ಮ ಮನೆಗೆ ನೀರು ಬರುತ್ತಿಲ್ಲ, ದಯವಿಟ್ಟು ಗಮನಿಸಿ.",Supply,Medium,Marathahalli,2025-12-30
When will water come today? No supply.,Supply,Medium,Jayanagar,2026-02-23
Drainage is blocked and overflowing in Hebbal.,Drainage,High,Hebbal,2026-03-04
Rajajinagar ನಲ್ಲಿ ನೀರಿನ ಸರಬರಾಜು ಇಲ್ಲ.,Supply,Medium,Rajajinagar,2026-02-08
water pipe odedide Jayanagar nalli.,Leakage,High,Jayanagar,2026-02-08
Pipe is cracked and leaking water at Hebbal.,Leakage,Medium,Hebbal,2025-12-13
"ಕೇವಲ ಹನಿಗಳು ಮಾತ್ರ ಬರುತ್ತಿವೆ, ದೊಡ್ಡ ಸೋರಿಕೆ ಇಲ್ಲ Marathahalli.",Leakage,Low,Marathahalli,2026-01-16
The public drain is choked and overflowing heavily.,Drainage,High,Electronic City,2025-12-27
Hebbal ನಲ್ಲಿ ಕುಡಿಯುವ ನೀರು ಕಲುಷಿತಗೊಂಡಿದೆ.,Contamination,High,Hebbal,2026-03-05
ಕುಡಿಯಲು ನೀರು ಯೋಗ್ಯವಾಗಿಲ್ಲ.,Contamination,Medium,Rajajinagar,2026-02-16
Mosquitoes increasing because of drainage leak.,Drainage,Medium,KR Puram,2026-02-07
When will water come today? No supply.,Supply,Medium,Hebbal,2026-02-28
ನೀರಿನಲ್ಲಿ ಕಸ ಮತ್ತು ಮಣ್ಣು ಬರುತ್ತಿದೆ.,Contamination,Medium,Indiranagar,2025-12-11
Manhole is open and overflowing.,Drainage,High,Electronic City,2025-12-10
Rajajinagar ನಲ್ಲಿ ಒಳಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡಿದೆ ಮತ್ತು ಉಕ್ಕಿ ಹರಿಯುತ್ತಿದೆ.,Drainage,High,Rajajinagar,2026-02-12
There is a severe water leak at the intersection in KR Puram.,Leakage,Medium,KR Puram,2026-03-05
Huge water leak at KR Puram.,Leakage,Medium,KR Puram,2026-02-11
bad smll wter cming frm tap.,Contamination,Low,Jayanagar,2025-12-08
ಚರಂಡಿ ಕಟ್ಟಿಕೊಂಡು ಕೆಟ್ಟ ವಾಸನೆ ಬರುತ್ತಿದೆ.,Drainage,Low,Rajajinagar,2025-12-26
Drinking water is contaminated in Hebbal.,Contamination,Medium,Hebbal,2026-03-05
The public drain is choked and overflowing heavily.,Drainage,High,Marathahalli,2025-12-23
yesterday ಇಂದ ನೀರು ಬಂದಿಲ್ಲ.,Supply,High,Indiranagar,2026-02-21
Mosquitoes increasing because of drainage leak.,Drainage,Medium,Rajajinagar,2026-01-16
drain is flul of grabage.,Drainage,Medium,Marathahalli,2026-01-24
water stagnation due to blocked drainage.,Drainage,Medium,HSR Layout,2026-02-24
Huge water leak at Whitefield.,Leakage,Medium,Whitefield,2026-02-19
"Pipe burst in Rajajinagar, water is everywhere.",Leakage,High,Rajajinagar,2026-01-25
ಮ್ಯಾನ್‌ಹೋಲ್ ತೆರೆದಿದೆ ಮತ್ತು ಕೊಳಚೆ ನೀರು ಹೊರಬರುತ್ತಿದೆ.,Drainage,High,KR Puram,2025-12-24
